location,population,highest_infection_count,percentage_of_population_infected_with_covid
Cyprus,896007,599118,66.8700
"Faeroe Islands",53117,34658,65.2500
Gibraltar,32677,20121,61.5800
Austria,8939617,5453038,61.0000
Andorra,79843,46588,58.3500
Denmark,5882259,3336890,56.7300
Iceland,372903,206571,55.4000
France,67813000,36952950,54.4900
Brunei,449002,241044,53.6800
Liechtenstein,39355,20663,52.5000
Latvia,1850654,953835,51.5400
"Falkland Islands",3801,1930,50.7800
Greece,10384972,5188890,49.9700
Israel,9449000,4687132,49.6000
Netherlands,17564020,8528467,48.5600
Georgia,3744385,1780691,47.5600
Bahrain,1472237,691074,46.9400
Luxembourg,647601,302868,46.7700
Lithuania,2750058,1268707,46.1300
Estonia,1326064,607300,45.8000
"Cayman Islands",68722,31096,45.2500
Montenegro,627082,282973,45.1300
"Isle of Man",84534,38008,44.9600
Germany,83369840,35784912,42.9200
"Bonaire Sint Eustatius and Saba",27052,11467,42.3900
Aruba,106459,44145,41.4700
Monaco,36491,14988,41.0700
Italy,59037472,23531023,39.8600
Australia,26177410,10402713,39.7400
Czechia,10493990,4164348,39.6800
Belgium,11655923,4617315,39.6100
"Cook Islands",17032,6389,37.5100
"Marshall Islands",41593,15389,37.0000
Barbados,281646,103424,36.7200
Nauru,12691,4611,36.3300
"New Zealand",5185289,1851774,35.7100
Maldives,523798,185364,35.3900
Ireland,5023108,1673665,33.3200
Montserrat,4413,1403,31.7900
Croatia,4030361,1247678,30.9600
Mongolia,3398373,985282,28.9900
Bermuda,64207,18428,28.7000
"Hong Kong",7488863,1933080,25.8100
"New Caledonia",289959,74440,25.6700
"French Polynesia",306292,76764,25.0600
Finland,5540745,1360721,24.5600
Anguilla,15877,3866,24.3500
Chile,19603736,4769638,24.3300
Curacao,191173,45489,23.7900
"British Virgin Islands",31332,7305,23.3100
Lebanon,5489744,1218923,22.2000
"Costa Rica",5180836,1135713,21.9200
Dominica,72758,15760,21.6600
Malta,533293,115425,21.6400
Hungary,9967304,2141513,21.4900
Argentina,45510324,9718875,21.3600
Greenland,56494,11971,21.1900
Mauritius,1299478,265301,20.4200
"Micronesia (country)",114178,22203,19.4500
Bulgaria,6781955,1280584,18.8800
Japan,123951696,22527741,18.1700
Moldova,3272993,593816,18.1400
Belize,405285,68957,17.0100
Brazil,215313504,34846308,16.1800
Armenia,2780472,445242,16.0100
Grenada,125459,19604,15.6300
Kuwait,4268886,662073,15.5100
Jordan,11285875,1746997,15.4800
Kosovo,1782115,272174,15.2700
Malaysia,33938216,4914557,14.4800
Botswana,2630300,326344,12.4100
"Bosnia and Herzegovina",3233530,400027,12.3700
Colombia,51874028,6310332,12.1600
Albania,2842318,332996,11.7200
Canada,38454328,4383367,11.4000
"Cape Verde",593162,62516,10.5400
Belarus,9534956,994037,10.4300
Cuba,11212198,1111290,9.9100
"Antigua and Barbuda",93772,9106,9.7100
Bahamas,409989,37386,9.1200
Bolivia,12224114,1109512,9.0800
Guyana,808727,71438,8.8300
Iran,88550568,7557962,8.5400
Bhutan,782457,62380,7.9700
Azerbaijan,10358078,823418,7.9500
Kazakhstan,19397998,1484932,7.6600
Libya,6812344,507051,7.4400
Fiji,929769,68270,7.3400
Namibia,2567024,169946,6.6200
Guatemala,17843914,1141290,6.4000
Eswatini,1201680,73558,6.1200
"Dominican Republic",11228821,647425,5.7700
Ecuador,18001002,1008035,5.6000
Mexico,127504120,7112504,5.5800
Iraq,44496124,2461484,5.5300
Jamaica,2827382,151931,5.3700
Honduras,10432858,457196,4.3800
Morocco,37457976,1265788,3.3800
Nepal,30547586,1000676,3.2800
"El Salvador",6336393,201785,3.1800
India,1417173120,44658365,3.1500
Kyrgyzstan,6630621,206452,3.1100
Laos,7529477,216265,2.8700
Kiribati,131237,3430,2.6100
Indonesia,275501344,6507610,2.3600
Gabon,2388997,48945,2.0500
Lesotho,2305826,34490,1.5000
Djibouti,1120851,15690,1.4000
Mauritania,4736146,63385,1.3400
Bangladesh,171186368,2035657,1.1900
Myanmar,54179312,632014,1.1700
Comoros,836783,8762,1.0500
"Equatorial Guinea",1674916,17174,1.0300
Cambodia,16767851,137995,0.8200
Mozambique,32969520,230475,0.7000
Kenya,54027484,339350,0.6300
Algeria,44903228,270847,0.6000
Ghana,33475870,170894,0.5100
Afghanistan,41128772,203395,0.4900
Egypt,110990096,515645,0.4600
Gambia,2705995,12580,0.4600
Cameroon,27914542,123629,0.4400
Malawi,20405318,88073,0.4300
Congo,5970430,24837,0.4200
Guinea-Bissau,2105580,8848,0.4200
Ethiopia,123379928,493996,0.4000
Burundi,12889583,50470,0.3900
"Cote d'Ivoire",28160548,87822,0.3100
Angola,35588996,103131,0.2900
Haiti,11585003,33828,0.2900
Eritrea,3684041,10189,0.2800
"Central African Republic",5579148,15260,0.2700
Guinea,13859349,38047,0.2700
Madagascar,29611718,66749,0.2300
Nicaragua,6948395,15186,0.2200
Benin,13352864,27782,0.2100
Liberia,5302690,7996,0.1500
Mali,22593598,32738,0.1400
Nigeria,218541216,266138,0.1200
Macao,695180,795,0.1100
"Burkina Faso",22673764,21631,0.1000
"Democratic Republic of Congo",99010216,93086,0.0900
China,1425887360,1042353,0.0700
Chad,17723312,7627,0.0400
Niger,26207982,9428,0.0400
