location,population,date,highest_infection_count,percentage_of_population_infected_with_covid
Cyprus,896007,10/28/2022,599118,66.8700
Cyprus,896007,10/27/2022,596297,66.5500
Cyprus,896007,10/26/2022,596297,66.5500
Cyprus,896007,10/25/2022,596297,66.5500
Cyprus,896007,10/24/2022,596297,66.5500
Cyprus,896007,10/23/2022,596297,66.5500
Cyprus,896007,10/22/2022,596297,66.5500
Cyprus,896007,10/21/2022,596297,66.5500
Cyprus,896007,10/20/2022,593542,66.2400
Cyprus,896007,10/19/2022,593542,66.2400
Cyprus,896007,10/18/2022,593542,66.2400
Cyprus,896007,10/17/2022,593542,66.2400
Cyprus,896007,10/16/2022,593542,66.2400
Cyprus,896007,10/15/2022,593542,66.2400
Cyprus,896007,10/14/2022,593542,66.2400
Cyprus,896007,10/13/2022,590783,65.9400
Cyprus,896007,10/12/2022,590783,65.9400
Cyprus,896007,10/11/2022,590783,65.9400
Cyprus,896007,10/10/2022,590783,65.9400
Cyprus,896007,10/9/2022,590783,65.9400
Cyprus,896007,10/8/2022,590783,65.9400
Cyprus,896007,10/7/2022,590783,65.9400
Cyprus,896007,10/6/2022,587994,65.6200
Cyprus,896007,10/5/2022,587994,65.6200
Cyprus,896007,10/4/2022,587994,65.6200
Cyprus,896007,10/3/2022,587994,65.6200
Cyprus,896007,10/2/2022,587994,65.6200
Cyprus,896007,10/1/2022,587994,65.6200
Cyprus,896007,9/30/2022,587994,65.6200
Cyprus,896007,9/29/2022,585313,65.3200
Cyprus,896007,9/28/2022,585313,65.3200
Cyprus,896007,9/27/2022,585313,65.3200
Cyprus,896007,9/26/2022,585313,65.3200
Cyprus,896007,9/25/2022,585313,65.3200
Cyprus,896007,9/24/2022,585313,65.3200
Cyprus,896007,9/23/2022,585313,65.3200
"Faeroe Islands",53117,7/18/2022,34658,65.2500
"Faeroe Islands",53117,7/17/2022,34658,65.2500
"Faeroe Islands",53117,7/16/2022,34658,65.2500
"Faeroe Islands",53117,7/15/2022,34658,65.2500
"Faeroe Islands",53117,7/14/2022,34658,65.2500
"Faeroe Islands",53117,7/13/2022,34658,65.2500
"Faeroe Islands",53117,7/12/2022,34658,65.2500
"Faeroe Islands",53117,7/11/2022,34658,65.2500
"Faeroe Islands",53117,7/10/2022,34658,65.2500
"Faeroe Islands",53117,7/9/2022,34658,65.2500
"Faeroe Islands",53117,7/8/2022,34658,65.2500
"Faeroe Islands",53117,7/7/2022,34658,65.2500
"Faeroe Islands",53117,7/6/2022,34658,65.2500
"Faeroe Islands",53117,7/5/2022,34658,65.2500
"Faeroe Islands",53117,7/4/2022,34658,65.2500
"Faeroe Islands",53117,7/3/2022,34658,65.2500
"Faeroe Islands",53117,7/2/2022,34658,65.2500
"Faeroe Islands",53117,7/1/2022,34658,65.2500
"Faeroe Islands",53117,6/30/2022,34658,65.2500
"Faeroe Islands",53117,6/29/2022,34658,65.2500
"Faeroe Islands",53117,6/28/2022,34658,65.2500
"Faeroe Islands",53117,6/27/2022,34658,65.2500
"Faeroe Islands",53117,6/26/2022,34658,65.2500
"Faeroe Islands",53117,6/25/2022,34658,65.2500
"Faeroe Islands",53117,6/24/2022,34658,65.2500
"Faeroe Islands",53117,6/23/2022,34658,65.2500
"Faeroe Islands",53117,6/22/2022,34658,65.2500
"Faeroe Islands",53117,6/21/2022,34658,65.2500
"Faeroe Islands",53117,6/20/2022,34658,65.2500
"Faeroe Islands",53117,6/19/2022,34658,65.2500
"Faeroe Islands",53117,6/18/2022,34658,65.2500
"Faeroe Islands",53117,6/17/2022,34658,65.2500
"Faeroe Islands",53117,6/16/2022,34658,65.2500
"Faeroe Islands",53117,6/15/2022,34658,65.2500
"Faeroe Islands",53117,6/14/2022,34658,65.2500
"Faeroe Islands",53117,6/13/2022,34658,65.2500
"Faeroe Islands",53117,6/12/2022,34658,65.2500
"Faeroe Islands",53117,6/11/2022,34658,65.2500
"Faeroe Islands",53117,6/10/2022,34658,65.2500
"Faeroe Islands",53117,6/9/2022,34658,65.2500
"Faeroe Islands",53117,6/8/2022,34658,65.2500
"Faeroe Islands",53117,6/7/2022,34658,65.2500
"Faeroe Islands",53117,6/6/2022,34658,65.2500
"Faeroe Islands",53117,6/5/2022,34658,65.2500
"Faeroe Islands",53117,6/4/2022,34658,65.2500
